,Ticker,Shares
1,MON,3072.8433167179724
2,CL,404.92886275725255
3,PG,100.36212355193565
4,PEP,148.43899402969546
5,MRK,260.4504169110339
6,KO,299.6349550392085
7,BMY,384.04767785448286
8,COST,26.36637809907749
9,MSFT,74.04180743916575
10,T,1043.9713445689108
11,CMCSA,431.40478242807865
12,CSCO,283.9556831425664
13,ORCL,229.43734660962465
14,PFE,452.17047987193655
15,TXN,158.9278821512505
16,ABT,107.0762872025346
17,SO,342.3368391664731
18,ACN,52.991925121995806
19,MO,438.83565303603194
20,NEE,157.20917438726667
21,LMT,56.52803997012893
22,UNP,50.93027981658584
23,GOOG,120.69779606774698
24,SBUX,157.76222044881663
25,PM,203.162676684918
